Name,URL,Fact and Bias
 rewire  ,rewire.news,Fact: HIGH Bias:  left
  defconwarningsystem ,defconwarningsystem.com,Fact: HIGH Bias:  center
  pnas  ,pnas.org,Fact: HIGH Bias:  center
  truthexaminer  ,truthexaminer.com,Fact: LOW Bias:  extreme-left
  aljazeera  ,aljazeera.com,Fact: HIGH Bias:  left-center
 milo.yiannopoulos  ,milo.yiannopoulos.net,Fact: LOW Bias:  extreme-right
 magicvalley  ,magicvalley.com,Fact: HIGH Bias:  center
  skeptic  ,skeptic.com,Fact: HIGH Bias:  center
  marketwatch  ,marketwatch.com,Fact: HIGH Bias:  center
 abriluno  ,abriluno.com,Fact: LOW Bias:  center
  detroitnews  ,detroitnews.com,Fact: HIGH Bias:  right-center
 thechronicleherald  ,thechronicleherald.ca,Fact: MIXED Bias:  right-center
 theduran  ,theduran.com,Fact: LOW Bias:  extreme-right
  teaparty  ,teaparty.org,Fact: LOW Bias:  extreme-right
  frc ,frc.org,Fact: LOW Bias:  extreme-right
 stocksnewsdaily  ,stocksnewsdaily.com,Fact: MIXED Bias:  left-center
 retractionwatch  ,retractionwatch.com,Fact: HIGH Bias:  center
 uawire  ,uawire.org,Fact: MIXED Bias:  left-center
 photographyisnotacrime  ,photographyisnotacrime.com,Fact: HIGH Bias:  left
 babylonbee  ,babylonbee.com,Fact: LOW Bias:  center
  polygraph fo ,polygraph.info,Fact: HIGH Bias:  center
 conservativebyte ,conservativebyte.com,Fact: LOW Bias:  extreme-right
 fas  ,fas.org,Fact: HIGH Bias:  center
  al-monitor  pulse home ,al-monitor.com-pulse-home.html,Fact: HIGH Bias:  left-center
 secondnexus  ,secondnexus.com,Fact: MIXED Bias:  left-center
  nwitimes ,nwitimes.com,Fact: HIGH Bias:  center
  morningstaronline  ,morningstaronline.co.uk,Fact: HIGH Bias:  left
  climaterealityproject  ,climaterealityproject.org,Fact: HIGH Bias:  left
 theproudliberal  ,theproudliberal.org,Fact: LOW Bias:  extreme-left
  nccivitas  ,nccivitas.org,Fact: MIXED Bias:  right
  vox  ,vox.com,Fact: HIGH Bias:  left
 freedumjunkshun  ,freedumjunkshun.com,Fact: LOW Bias:  center
  aol  ,aol.com,Fact: HIGH Bias:  left-center
  lgbtqnation  ,lgbtqnation.com,Fact: HIGH Bias:  left
  beaware.one,beaware.one,Fact: LOW Bias:  extreme-right
 liberalsociety  ,liberalsociety.com,Fact: LOW Bias:  extreme-left
  taxpayer  ,taxpayer.com,Fact: HIGH Bias:  right-center
 santamariatimes ,santamariatimes.com,Fact: HIGH Bias:  center
  jamestown  ,jamestown.org,Fact: HIGH Bias:  right-center
 bluntforcetruth ,bluntforcetruth.com,Fact: LOW Bias:  extreme-right
  independent  us,independent.co.uk,Fact: HIGH Bias:  left-center
  desmogblog  ,desmogblog.com,Fact: HIGH Bias:  left
 niskanencenter ,niskanencenter.org,Fact: HIGH Bias:  center
  scientificamerican  ,scientificamerican.com,Fact: HIGH Bias:  center
  greenleft  ,greenleft.org.au,Fact: MIXED Bias:  left
  texasmonthly ,texasmonthly.com,Fact: HIGH Bias:  left-center
  pravdareport  ,pravdareport.com,Fact: MIXED Bias:  left
  hindustantimes  ,hindustantimes.com,Fact: HIGH Bias:  left-center
  peninsuladailynews  ,peninsuladailynews.com,Fact: HIGH Bias:  right-center
  mirror  ,mirror.co.uk,Fact: MIXED Bias:  left
 americablog  ,americablog.com,Fact: HIGH Bias:  left
 bb4sp  ,bb4sp.com,Fact: LOW Bias:  extreme-right
 firstinfreedomdaily  ,firstinfreedomdaily.com,Fact: MIXED Bias:  right
  fresnobee  ,fresnobee.com,Fact: HIGH Bias:  left-center
  americanpatriotdaily  ,americanpatriotdaily.com,Fact: LOW Bias:  extreme-right
  helsinkitimes.fi ,helsinkitimes.fi,Fact: HIGH Bias:  left-center
  pri  programs globalpost,pri.org-programs-globalpost,Fact: HIGH Bias:  left-center
  tribunemagazine  ,tribunemagazine.org,Fact: HIGH Bias:  left
  dailywire  ,dailywire.com,Fact: MIXED Bias:  right
 bismarcktribune ,bismarcktribune.com,Fact: HIGH Bias:  center
 researchantisemitism ,researchantisemitism.ca,Fact: LOW Bias:  extreme-right
  occupydemocrats ,occupydemocrats.com,Fact: LOW Bias:  extreme-left
  thedailyvox   ,thedailyvox.co.za,Fact: HIGH Bias:  left
  newbernsj  ,newbernsj.com,Fact: HIGH Bias:  center
 verafiles ,verafiles.org,Fact: HIGH Bias:  center
  afa  ,afa.net,Fact: LOW Bias:  extreme-right
 freedomcrossroads  ,freedomcrossroads.com,Fact: MIXED Bias:  right
  noozhawk  ,noozhawk.com,Fact: HIGH Bias:  center
  dailydems  ,dailydems.com,Fact: MIXED Bias:  left
  crisismagazine  ,crisismagazine.com,Fact: MIXED Bias:  right
  thenewsliteracyproject  ,thenewsliteracyproject.org,Fact: HIGH Bias:  center
  wral  ,wral.com,Fact: HIGH Bias:  center
 thesternfacts  ,thesternfacts.com,Fact: MIXED Bias:  left
 truthinmedia  ,truthinmedia.com,Fact: LOW Bias:  extreme-right
 kff  ,kff.org,Fact: HIGH Bias:  center
 rightwingnews  ,rightwingnews.com,Fact: LOW Bias:  extreme-right
 mediashift  ,mediashift.org,Fact: HIGH Bias:  center
  thebalance ,thebalance.com,Fact: HIGH Bias:  center
  christianpost  ,christianpost.com,Fact: MIXED Bias:  right
 pogo  ,pogo.org,Fact: HIGH Bias:  center
  newswithviews  ,newswithviews.com,Fact: LOW Bias:  extreme-right
 metro  ,metro.co.uk,Fact: HIGH Bias:  left-center
  thepublicdiscourse  ,thepublicdiscourse.com,Fact: LOW Bias:  extreme-right
  ocregister  ,ocregister.com,Fact: HIGH Bias:  right-center
  taxjustice  ,taxjustice.net,Fact: HIGH Bias:  left-center
  theguardian  observer,theguardian.com-observer,Fact: HIGH Bias:  left-center
  dailyprogress ,dailyprogress.com,Fact: HIGH Bias:  center
 libcom ,libcom.org,Fact: HIGH Bias:  left
  zeit.de english index,zeit.de,Fact: HIGH Bias:  left-center
  statesmanjournal  ,statesmanjournal.com,Fact: HIGH Bias:  right-center
  renewamerica ,renewamerica.com,Fact: LOW Bias:  extreme-right
  eurasiagroup  ,eurasiagroup.net,Fact: HIGH Bias:  center
  shtfplan  ,shtfplan.com,Fact: LOW Bias:  extreme-right
  weeklystandard  ,weeklystandard.com,Fact: HIGH Bias:  right
 joeforamerica ,joeforamerica.com,Fact: LOW Bias:  extreme-right
  greentechmedia  ,greentechmedia.com,Fact: HIGH Bias:  left-center
 news.cgtn ,news.cgtn.com,Fact: HIGH Bias:  center
  opendemocracy  ,opendemocracy.net,Fact: HIGH Bias:  left-center
 breakingdefense  ,breakingdefense.com,Fact: HIGH Bias:  right-center
 newsbreakshere  ,newsbreakshere.com,Fact: LOW Bias:  extreme-right
 egyptianstreets  ,egyptianstreets.com,Fact: MIXED Bias:  left-center
 70news   ,70news.wordpress.com,Fact: LOW Bias:  extreme-right
  poynter  ,poynter.org,Fact: HIGH Bias:  center
  addictinginfo  ,addictinginfo.org,Fact: MIXED Bias:  left
  surenews  ,surenews.com,Fact: LOW Bias:  extreme-right
  janes  ,janes.com,Fact: HIGH Bias:  center
  nova-magazine ,nova-magazine.net,Fact: MIXED Bias:  left
 thewest   ,thewest.com.au,Fact: HIGH Bias:  right-center
 usaconservativereport ,usaconservativereport.com,Fact: LOW Bias:  extreme-right
  express  ,express.co.uk,Fact: HIGH Bias:  right
  postbulletin  ,postbulletin.com,Fact: HIGH Bias:  right-center
  oilandwaterdontmix  ,oilandwaterdontmix.org,Fact: HIGH Bias:  left-center
 iwf  ,iwf.org,Fact: HIGH Bias:  right
 newmoderate  ,newmoderate.com,Fact: HIGH Bias:  left-center
  ips-dc ,ips-dc.org,Fact: HIGH Bias:  left
  heritage  ,heritage.org,Fact: MIXED Bias:  right
  americanheritage ,americanheritage.com,Fact: HIGH Bias:  center
  westmonster  ,westmonster.com,Fact: HIGH Bias:  right-center
  phnompenhpost  ,phnompenhpost.com,Fact: HIGH Bias:  center
 fair  ,fair.org,Fact: HIGH Bias:  left-center
 redice  ,redice.tv,Fact: LOW Bias:  extreme-right
  timesofisrael  ,timesofisrael.com,Fact: HIGH Bias:  left-center
  newsmax  ,newsmax.com,Fact: MIXED Bias:  right
  rstreet  ,rstreet.org,Fact: HIGH Bias:  right-center
  thepostemail  ,thepostemail.com,Fact: MIXED Bias:  right
  swedishwire  ,swedishwire.com,Fact: HIGH Bias:  center
  diversityinc ,diversityinc.com,Fact: HIGH Bias:  left-center
 pilotonline  ,pilotonline.com,Fact: HIGH Bias:  left-center
  stopfake  ,stopfake.org,Fact: HIGH Bias:  left-center
  almasdarnews ,almasdarnews.com,Fact: MIXED Bias:  left-center
  pgpf  ,pgpf.org,Fact: HIGH Bias:  center
 realnewsrightnow  ,realnewsrightnow.com,Fact: LOW Bias:  center
 progresstribune  ,progresstribune.com,Fact: LOW Bias:  extreme-left
 rightweb.irc-online ,rightweb.irc-online.org,Fact: HIGH Bias:  left-center
  mlive  grand-rapids  ,mlive.com-grand-rapids-#-0,Fact: HIGH Bias:  right-center
  providencejournal  ,providencejournal.com,Fact: HIGH Bias:  left-center
 jewishbreakingnews ,jewishbreakingnews.com,Fact: MIXED Bias:  right-center
  truth-out  ,truth-out.org,Fact: MIXED Bias:  left
 ffrf  ,ffrf.org,Fact: HIGH Bias:  center
  vermontindependent  ,vermontindependent.org,Fact: MIXED Bias:  left
 rapidcityjournal ,rapidcityjournal.com,Fact: HIGH Bias:  center
  theonion  ,theonion.com,Fact: LOW Bias:  center
  demos ,demos.org,Fact: HIGH Bias:  left-center
  ledevoir  ,ledevoir.com,Fact: HIGH Bias:  center
 auburnpub  ,auburnpub.com,Fact: HIGH Bias:  center
 quadrant  ,quadrant.org.au,Fact: MIXED Bias:  right
 patribotics  ,patribotics.blog,Fact: LOW Bias:  right
 mbganews  ,mbganews.com,Fact: LOW Bias:  extreme-right
 politifeed ,politifeed.net,Fact: MIXED Bias:  right
  bloomberg  ,bloomberg.com,Fact: HIGH Bias:  left-center
 itsgoingdown  ,itsgoingdown.org,Fact: MIXED Bias:  left
 republicanssucks ,republicanssucks.org,Fact: MIXED Bias:  left
 bipartisanpolicy ,bipartisanpolicy.org,Fact: HIGH Bias:  right-center
 antifascistnews  ,antifascistnews.net,Fact: HIGH Bias:  left
  kentucky  ,kentucky.com,Fact: HIGH Bias:  left-center
 dailysignal  ,dailysignal.com,Fact: MIXED Bias:  right
  courier-journal  ,courier-journal.com,Fact: HIGH Bias:  left-center
 vancouversun  ,vancouversun.com,Fact: HIGH Bias:  left-center
  timescolonist  ,timescolonist.com,Fact: HIGH Bias:  left-center
 techxplore  ,techxplore.com,Fact: HIGH Bias:  center
  dailyrecord  ,dailyrecord.com,Fact: HIGH Bias:  center
  vivaliberty  ,vivaliberty.com,Fact: MIXED Bias:  right
 newsite.thehindu  ,newsite.thehindu.com,Fact: HIGH Bias:  left-center
  scotusblog  ,scotusblog.com,Fact: HIGH Bias:  center
  dailynews  ,dailynews.com,Fact: HIGH Bias:  right-center
  hcn ,hcn.org,Fact: HIGH Bias:  left-center
  680news  ,680news.com,Fact: HIGH Bias:  center
 jezebel  ,jezebel.com,Fact: MIXED Bias:  left
  takepart  ,takepart.com,Fact: HIGH Bias:  left
 nautil  ,nautil.us,Fact: HIGH Bias:  center
 triblive  ,triblive.com,Fact: HIGH Bias:  right-center
 crimeresearch  ,crimeresearch.org,Fact: MIXED Bias:  right
  theoslotimes  ,theoslotimes.com,Fact: HIGH Bias:  left-center
  euronews  ,euronews.com,Fact: HIGH Bias:  center
  pennlive  ,pennlive.com,Fact: HIGH Bias:  left-center
 toprightnews ,toprightnews.com,Fact: LOW Bias:  extreme-right
  newsobserver  ,newsobserver.com,Fact: HIGH Bias:  left-center
 altoday  ,altoday.com,Fact: HIGH Bias:  center
 humanprogress  ,humanprogress.org,Fact: MIXED Bias:  right-center
 conservativemedia  ,conservativemedia.com,Fact: LOW Bias:  extreme-right
  newsbiscuit  ,newsbiscuit.com,Fact: LOW Bias:  center
  news24  ,news24.com,Fact: HIGH Bias:  center
  chicagotribune  ,chicagotribune.com,Fact: HIGH Bias:  left-center
  thelondoneconomic ,thelondoneconomic.com,Fact: MIXED Bias:  left
  ebar  ,ebar.com,Fact: HIGH Bias:  left
 consmovement  ,consmovement.com,Fact: LOW Bias:  extreme-right
  youngcons  ,youngcons.com,Fact: MIXED Bias:  right
 reverbpress  ,reverbpress.com,Fact: MIXED Bias:  left
  therebel.media ,therebel.media,Fact: MIXED Bias:  right
  inquirer  ,inquirer.net,Fact: HIGH Bias:  left-center
 thelapine  ,thelapine.ca,Fact: LOW Bias:  center
 newpol  ,newpol.org,Fact: HIGH Bias:  left
  economist  ,economist.com,Fact: HIGH Bias:  center
 newrepublic  ,newrepublic.com,Fact: HIGH Bias:  left
  lifesitenews  ,lifesitenews.com,Fact: MIXED Bias:  right
  nextbigfuture ,nextbigfuture.com,Fact: HIGH Bias:  center
  politifact  ,politifact.com,Fact: HIGH Bias:  center
 tennesseestar  ,tennesseestar.com,Fact: HIGH Bias:  right
  pluralist ,pluralist.com,Fact: HIGH Bias:  left-center
 sbgi  ,sbgi.net,Fact: MIXED Bias:  right
 thefloridasqueeze  ,thefloridasqueeze.com,Fact: MIXED Bias:  left
  countercurrents  ,countercurrents.org,Fact: HIGH Bias:  left
 newmatilda  ,newmatilda.com,Fact: HIGH Bias:  left-center
  theverge  ,theverge.com,Fact: HIGH Bias:  left-center
  loonwatch  ,loonwatch.com,Fact: LOW Bias:  extreme-left
  dawn  ,dawn.com,Fact: HIGH Bias:  left-center
 everydayfeminism  ,everydayfeminism.com,Fact: HIGH Bias:  left
  weforum  ,weforum.org,Fact: HIGH Bias:  center
  thereligionofpeace  ,thereligionofpeace.com,Fact: LOW Bias:  extreme-right
 voiceofeurope  ,voiceofeurope.com,Fact: LOW Bias:  extreme-right
  aclu  ,aclu.org,Fact: HIGH Bias:  left-center
 legalinsurrection  ,legalinsurrection.com,Fact: MIXED Bias:  right
 poststar ,poststar.com,Fact: HIGH Bias:  center
  eff  ,eff.org,Fact: HIGH Bias:  left-center
  nationalcenter  ,nationalcenter.org,Fact: MIXED Bias:  right
 bluenationreview  ,bluenationreview.com,Fact: MIXED Bias:  left
  realclearpolitics  ,realclearpolitics.com,Fact: HIGH Bias:  right-center
 thebaffler  ,thebaffler.com,Fact: HIGH Bias:  left-center
  presstv  ,presstv.com,Fact: MIXED Bias:  left-center
  hoggwatch ,hoggwatch.com,Fact: LOW Bias:  extreme-right
 lethbridgeherald  ,lethbridgeherald.com,Fact: HIGH Bias:  left-center
  valleynewslive  ,valleynewslive.com,Fact: HIGH Bias:  right-center
 highline.huffingtonpost ,highline.huffingtonpost.com,Fact: HIGH Bias:  left-center
 crosscut  ,crosscut.com,Fact: HIGH Bias:  left-center
 yesimright  ,yesimright.com,Fact: LOW Bias:  extreme-right
 vidmax  ,vidmax.com,Fact: LOW Bias:  extreme-right
 world.wng  ,world.wng.org,Fact: MIXED Bias:  right
  thecipherbrief  ,thecipherbrief.com,Fact: HIGH Bias:  center
  codepink  ,codepink.org,Fact: MIXED Bias:  left
  leftscoop  ,leftscoop.com,Fact: MIXED Bias:  left
  sltrib  ,sltrib.com,Fact: HIGH Bias:  left-center
 ipatriot ,ipatriot.com,Fact: MIXED Bias:  right
  news-gazette  ,news-gazette.com,Fact: HIGH Bias:  right-center
 studionewsnetwork ,studionewsnetwork.com,Fact: LOW Bias:  right
  mcall ,mcall.com,Fact: HIGH Bias:  center
 conservativetribune  ,conservativetribune.com,Fact: LOW Bias:  extreme-right
  dailysabah  ,dailysabah.com,Fact: MIXED Bias:  right
  oneindia  ,oneindia.com,Fact: MIXED Bias:  left-center
 newsthump  ,newsthump.com,Fact: LOW Bias:  center
 bullshitnews  ,bullshitnews.org,Fact: LOW Bias:  center
 ncse  ,ncse.com,Fact: HIGH Bias:  center
 renewedright ,renewedright.com,Fact: MIXED Bias:  right
  transparency  ,transparency.org,Fact: HIGH Bias:  center
  adaa  ,adaa.org,Fact: HIGH Bias:  center
  alternet  ,alternet.org,Fact: MIXED Bias:  left
  puppetstringnews  ,puppetstringnews.com,Fact: LOW Bias:  extreme-right
 calwatchdog ,calwatchdog.com,Fact: HIGH Bias:  left-center
  sfchronicle  ,sfchronicle.com,Fact: HIGH Bias:  left-center
  progressivestoday  ,progressivestoday.com,Fact: LOW Bias:  extreme-right
 projectcensored  ,projectcensored.org,Fact: HIGH Bias:  left
 billmoyers  ,billmoyers.com,Fact: HIGH Bias:  left-center
  fastcompany  ,fastcompany.com,Fact: HIGH Bias:  left-center
  dailysquib  ,dailysquib.co.uk,Fact: LOW Bias:  center
  citypaper  ,citypaper.com,Fact: MIXED Bias:  left
  jihadwatch  ,jihadwatch.org,Fact: LOW Bias:  extreme-right
 thepeoplestruth  ,thepeoplestruth.com,Fact: LOW Bias:  extreme-right
  financialexpress  ,financialexpress.com,Fact: HIGH Bias:  center
 conservativedailypost  ,conservativedailypost.com,Fact: LOW Bias:  extreme-right
  smirkingchimp  ,smirkingchimp.com,Fact: HIGH Bias:  left
  pacificresearch  home ,pacificresearch.org-home,Fact: HIGH Bias:  right-center
 truthbetold  ,truthbetold.news,Fact: HIGH Bias:  center
 thepeoplescube ,thepeoplescube.com,Fact: LOW Bias:  center
 patrioticviralnews  ,patrioticviralnews.com,Fact: LOW Bias:  extreme-right
  thenewcivilrightsmovement  ,thenewcivilrightsmovement.com,Fact: MIXED Bias:  left
  bipartisanreport  ,bipartisanreport.com,Fact: LOW Bias:  extreme-left
  viralthread  ,viralthread.com,Fact: MIXED Bias:  center
 concernedwomen  blog ,concernedwomen.org-blog,Fact: LOW Bias:  extreme-right
 thehardtimes  ,thehardtimes.net,Fact: LOW Bias:  center
 trib ,trib.com,Fact: HIGH Bias:  center
 ntknetwork ,ntknetwork.com,Fact: MIXED Bias:  right
  thatsnonsense  ,thatsnonsense.com,Fact: HIGH Bias:  center
  denverpost  ,denverpost.com,Fact: HIGH Bias:  left-center
  telesurtv  english ,telesurtv.net-english,Fact: MIXED Bias:  left
  metro  ,metro.us,Fact: HIGH Bias:  left-center
  npr  sections news ,npr.org-sections-news,Fact: HIGH Bias:  left-center
 judicialnetwork  ,judicialnetwork.com,Fact: MIXED Bias:  right
  dailykos  ,dailykos.com,Fact: MIXED Bias:  left
 speisa  ,speisa.com,Fact: LOW Bias:  extreme-right
 montrealgazette  ,montrealgazette.com,Fact: HIGH Bias:  left-center
  thequint  ,thequint.com,Fact: MIXED Bias:  right-center
 outlook.monmouth.edu ,outlook.monmouth.edu,Fact: HIGH Bias:  center
 aclj  ,aclj.org,Fact: MIXED Bias:  right
 elpais  elpais inenglish ,elpais.com-elpais-inenglish.html,Fact: HIGH Bias:  left-center
 tytnetwork  ,tytnetwork.com,Fact: HIGH Bias:  left
  geneticliteracyproject  ,geneticliteracyproject.org,Fact: HIGH Bias:  center
 nowthisnews  ,nowthisnews.com,Fact: MIXED Bias:  left
  againstcronycapitalism  ,againstcronycapitalism.org,Fact: MIXED Bias:  right
 gotnews  ,gotnews.com,Fact: LOW Bias:  extreme-right
 other98  ,other98.com,Fact: MIXED Bias:  left
 thinkprogress  ,thinkprogress.org,Fact: MIXED Bias:  left
 personalliberty  ,personalliberty.com,Fact: LOW Bias:  extreme-right
  star-telegram  ,star-telegram.com,Fact: HIGH Bias:  right-center
  trumpservativenews fo,trumpservativenews.info,Fact: LOW Bias:  extreme-right
 viraldevil ,viraldevil.com,Fact: LOW Bias:  center
  votevets  ,votevets.org,Fact: HIGH Bias:  left-center
  bizpacreview  ,bizpacreview.com,Fact: MIXED Bias:  right
  usatoday  ,usatoday.com,Fact: HIGH Bias:  center
 thehornnews  ,thehornnews.com,Fact: LOW Bias:  extreme-right
 colombiareports ,colombiareports.com,Fact: MIXED Bias:  left-center
  focusonthefamily  ,focusonthefamily.com,Fact: LOW Bias:  extreme-right
 heavy  ,heavy.com,Fact: HIGH Bias:  left-center
 rightalerts  ,rightalerts.com,Fact: LOW Bias:  extreme-right
  allthatsfab  ,allthatsfab.com,Fact: MIXED Bias:  left
  globetoday  ,globetoday.com,Fact: MIXED Bias:  left
