 resistancereport  ,resistancereport.com, mediabiasfactcheck.com resistance-report ,LOW,extreme-left,,,,
 democraticreview  ,democraticreview.com, mediabiasfactcheck.com democratic-review ,LOW,extreme-left,,,,
  medicaldaily  ,medicaldaily.com, mediabiasfactcheck.com medical-daily ,HIGH,center,,,,
 americannewsx  ,americannewsx.com, mediabiasfactcheck.com american-news-x ,MIXED,left,,,,
  ibtimes  ,ibtimes.com, mediabiasfactcheck.com international-business-times ,MIXED,left-center,,,,
  japantimes .jp ,japantimes.co.jp, mediabiasfactcheck.com japan-times ,HIGH,center,,,,
  chicksontheright  ,chicksontheright.com, mediabiasfactcheck.com chicks-on-the-right ,MIXED,right,,,,
  foreignpolicyjournal ,foreignpolicyjournal.com, mediabiasfactcheck.com foreign-policy-journal ,HIGH,left,,,,
  quantamagazine  ,quantamagazine.org, mediabiasfactcheck.com quanta-magazine ,HIGH,center,,,,
  buzzfeed  ,buzzfeed.com, mediabiasfactcheck.com buzzfeed ,MIXED,left-center,,,,
 harvardpolitics  ,harvardpolitics.com, mediabiasfactcheck.com harvard-political-review ,HIGH,center,,,,
 newsuptoday  ,newsuptoday.com, mediabiasfactcheck.com news-up-today ,LOW,extreme-right,,,,
 sciencetrends ,sciencetrends.com, mediabiasfactcheck.com science-trends ,HIGH,center,,,,
 viralcords  ,viralcords.com, mediabiasfactcheck.com viral-cords ,LOW,center,,,,
  climatecentral  ,climatecentral.org, mediabiasfactcheck.com climate-central ,HIGH,center,,,,
 siouxcityjournal  ,siouxcityjournal.com, mediabiasfactcheck.com sioux-city-journal ,HIGH,center,,,,
  commentarymagazine  ,commentarymagazine.com, mediabiasfactcheck.com commentary-magazine ,HIGH,right,,,,
  themaven  beingliberal,themaven.net-beingliberal, mediabiasfactcheck.com being-liberal ,MIXED,left,,,,
  cpj  ,cpj.org, mediabiasfactcheck.com committee-to-protect-journalists ,HIGH,center,,,,
  adelaidenow   ,adelaidenow.com.au, mediabiasfactcheck.com the-advertiser ,MIXED,right,,,,
  epi  ,epi.org, mediabiasfactcheck.com economic-policy-institute ,HIGH,left-center,,,,
  atlanticmedia  ,atlanticmedia.com, mediabiasfactcheck.com atlantic-media ,HIGH,left-center,,,,
  bangkokpost  ,bangkokpost.com, mediabiasfactcheck.com the-bangkok-post ,HIGH,center,,,,
 bigamericannews  ,bigamericannews.com, mediabiasfactcheck.com big-american-news ,LOW,center,,,,
  psypost  ,psypost.org, mediabiasfactcheck.com psypost ,HIGH,center,,,,
  beliefnet ,beliefnet.com, mediabiasfactcheck.com beliefnet ,MIXED,right,,,,
 placesjournal  ,placesjournal.org, mediabiasfactcheck.com places-journal ,HIGH,center,,,,
  politicalgarbagechute  ,politicalgarbagechute.com, mediabiasfactcheck.com the-political-garbage-chute ,LOW,center,,,,
 rewire  ,rewire.news, mediabiasfactcheck.com rewire ,HIGH,left,,,,
  defconwarningsystem ,defconwarningsystem.com, mediabiasfactcheck.com defcon-warning-system ,HIGH,center,,,,
  pnas  ,pnas.org, mediabiasfactcheck.com proceedings-of-the-national-academy-of-sciences-of-the-united-states-of-america-pnas ,HIGH,center,,,,
  truthexaminer  ,truthexaminer.com, mediabiasfactcheck.com truth-examiner ,LOW,extreme-left,,,,
  aljazeera  ,aljazeera.com, mediabiasfactcheck.com al-jazeera ,HIGH,left-center,,,,
 milo.yiannopoulos  ,milo.yiannopoulos.net, mediabiasfactcheck.com milo-news ,LOW,extreme-right,,,,
 magicvalley  ,magicvalley.com, mediabiasfactcheck.com times-news-idaho ,HIGH,center,,,,
  skeptic  ,skeptic.com, mediabiasfactcheck.com skeptic-magazine ,HIGH,center,,,,
  marketwatch  ,marketwatch.com, mediabiasfactcheck.com marketwatch ,HIGH,center,,,,
 abriluno  ,abriluno.com, mediabiasfactcheck.com abril-uno ,LOW,center,,,,
  detroitnews  ,detroitnews.com, mediabiasfactcheck.com detroit-news ,HIGH,right-center,,,,
 thechronicleherald  ,thechronicleherald.ca, mediabiasfactcheck.com the-chronicle-herald ,MIXED,right-center,,,,
 theduran  ,theduran.com, mediabiasfactcheck.com the-duran ,LOW,extreme-right,,,,
  teaparty  ,teaparty.org, mediabiasfactcheck.com tea-party-inc ,LOW,extreme-right,,,,
  frc ,frc.org, mediabiasfactcheck.com family-research-council ,LOW,extreme-right,,,,
 stocksnewsdaily  ,stocksnewsdaily.com, mediabiasfactcheck.com stocks-news-daily ,MIXED,left-center,,,,
 retractionwatch  ,retractionwatch.com, mediabiasfactcheck.com retraction-watch ,HIGH,center,,,,
 uawire  ,uawire.org, mediabiasfactcheck.com uawire ,MIXED,left-center,,,,
 photographyisnotacrime  ,photographyisnotacrime.com, mediabiasfactcheck.com pinac ,HIGH,left,,,,
 babylonbee  ,babylonbee.com, mediabiasfactcheck.com babylon-bee ,LOW,center,,,,
  polygraph fo ,polygraph.info, mediabiasfactcheck.com polygraph-info ,HIGH,center,,,,
 conservativebyte ,conservativebyte.com, mediabiasfactcheck.com conservative-byte ,LOW,extreme-right,,,,
 fas  ,fas.org, mediabiasfactcheck.com federation-of-american-scientists-fas ,HIGH,center,,,,
  al-monitor  pulse home ,al-monitor.com-pulse-home.html, mediabiasfactcheck.com al-monitor ,HIGH,left-center,,,,
 secondnexus  ,secondnexus.com, mediabiasfactcheck.com second-nexus ,MIXED,left-center,,,,
  nwitimes ,nwitimes.com, mediabiasfactcheck.com northwest-indiana-times ,HIGH,center,,,,
  morningstaronline  ,morningstaronline.co.uk, mediabiasfactcheck.com the-morning-star ,HIGH,left,,,,
  climaterealityproject  ,climaterealityproject.org, mediabiasfactcheck.com the-climate-reality-project ,HIGH,left,,,,
 theproudliberal  ,theproudliberal.org, mediabiasfactcheck.com the-proud-liberal ,LOW,extreme-left,,,,
  nccivitas  ,nccivitas.org, mediabiasfactcheck.com civitas-institute ,MIXED,right,,,,
  vox  ,vox.com, mediabiasfactcheck.com vox ,HIGH,left,,,,
 freedumjunkshun  ,freedumjunkshun.com, mediabiasfactcheck.com freedum-junkshun ,LOW,center,,,,
  aol  ,aol.com, mediabiasfactcheck.com aol ,HIGH,left-center,,,,
  lgbtqnation  ,lgbtqnation.com, mediabiasfactcheck.com lgbtq-nation ,HIGH,left,,,,
  beaware.one,beaware.one, mediabiasfactcheck.com beaware ,LOW,extreme-right,,,,
 liberalsociety  ,liberalsociety.com, mediabiasfactcheck.com liberal-society ,LOW,extreme-left,,,,
  taxpayer  ,taxpayer.com, mediabiasfactcheck.com canadian-taxpayers-federation ,HIGH,right-center,,,,
 santamariatimes ,santamariatimes.com, mediabiasfactcheck.com santa-maria-times ,HIGH,center,,,,
  jamestown  ,jamestown.org, mediabiasfactcheck.com the-jamestown-foundation ,HIGH,right-center,,,,
 bluntforcetruth ,bluntforcetruth.com, mediabiasfactcheck.com blunt-force-truth ,LOW,extreme-right,,,,
  independent  us,independent.co.uk, mediabiasfactcheck.com the-independent ,HIGH,left-center,,,,
  desmogblog  ,desmogblog.com, mediabiasfactcheck.com desmog ,HIGH,left,,,,
 niskanencenter ,niskanencenter.org, mediabiasfactcheck.com niskanen-center ,HIGH,center,,,,
  scientificamerican  ,scientificamerican.com, mediabiasfactcheck.com scientific-american ,HIGH,center,,,,
  greenleft  ,greenleft.org.au, mediabiasfactcheck.com green-left-weekly ,MIXED,left,,,,
  texasmonthly ,texasmonthly.com, mediabiasfactcheck.com texas-monthly ,HIGH,left-center,,,,
  pravdareport  ,pravdareport.com, mediabiasfactcheck.com pravda-report ,MIXED,left,,,,
  hindustantimes  ,hindustantimes.com, mediabiasfactcheck.com hindustan-times ,HIGH,left-center,,,,
  peninsuladailynews  ,peninsuladailynews.com, mediabiasfactcheck.com peninsula-daily-news ,HIGH,right-center,,,,
  mirror  ,mirror.co.uk, mediabiasfactcheck.com daily-mirror ,MIXED,left,,,,
 americablog  ,americablog.com, mediabiasfactcheck.com americablog ,HIGH,left,,,,
 bb4sp  ,bb4sp.com, mediabiasfactcheck.com bb4sp ,LOW,extreme-right,,,,
 firstinfreedomdaily  ,firstinfreedomdaily.com, mediabiasfactcheck.com first-freedom-daily ,MIXED,right,,,,
  fresnobee  ,fresnobee.com, mediabiasfactcheck.com fresno-bee ,HIGH,left-center,,,,
  americanpatriotdaily  ,americanpatriotdaily.com, mediabiasfactcheck.com american-patriot-daily ,LOW,extreme-right,,,,
  helsinkitimes.fi ,helsinkitimes.fi, mediabiasfactcheck.com helsinki-times ,HIGH,left-center,,,,
  pri  programs globalpost,pri.org-programs-globalpost, mediabiasfactcheck.com global-post ,HIGH,left-center,,,,
  tribunemagazine  ,tribunemagazine.org, mediabiasfactcheck.com tribune-magazine-uk ,HIGH,left,,,,
  dailywire  ,dailywire.com, mediabiasfactcheck.com the-daily-wire ,MIXED,right,,,,
 bismarcktribune ,bismarcktribune.com, mediabiasfactcheck.com bismarck-tribune ,HIGH,center,,,,
 researchantisemitism ,researchantisemitism.ca, mediabiasfactcheck.com centre-for-research-of-radicalism-and-national-security-crrns ,LOW,extreme-right,,,,
  occupydemocrats ,occupydemocrats.com, mediabiasfactcheck.com occupy-democrats ,LOW,extreme-left,,,,
  thedailyvox   ,thedailyvox.co.za, mediabiasfactcheck.com the-daily-vox ,HIGH,left,,,,
  newbernsj  ,newbernsj.com, mediabiasfactcheck.com new-bern-sun-journal ,HIGH,center,,,,
 verafiles ,verafiles.org, mediabiasfactcheck.com vera-files ,HIGH,center,,,,
  afa  ,afa.net, mediabiasfactcheck.com american-family-association ,LOW,extreme-right,,,,
 freedomcrossroads  ,freedomcrossroads.com, mediabiasfactcheck.com freedom-crossroads ,MIXED,right,,,,
  noozhawk  ,noozhawk.com, mediabiasfactcheck.com noozhawk ,HIGH,center,,,,
  dailydems  ,dailydems.com, mediabiasfactcheck.com daily-dems ,MIXED,left,,,,
  crisismagazine  ,crisismagazine.com, mediabiasfactcheck.com crisis-magazine ,MIXED,right,,,,
  thenewsliteracyproject  ,thenewsliteracyproject.org, mediabiasfactcheck.com news-literacy-project ,HIGH,center,,,,
  wral  ,wral.com, mediabiasfactcheck.com wral ,HIGH,center,,,,
 thesternfacts  ,thesternfacts.com, mediabiasfactcheck.com the-stern-facts ,MIXED,left,,,,
 truthinmedia  ,truthinmedia.com, mediabiasfactcheck.com truth-in-media ,LOW,extreme-right,,,,
 kff  ,kff.org, mediabiasfactcheck.com kaiser-family-foundation ,HIGH,center,,,,
 rightwingnews  ,rightwingnews.com, mediabiasfactcheck.com right-wing-news ,LOW,extreme-right,,,,
 mediashift  ,mediashift.org, mediabiasfactcheck.com mediashift ,HIGH,center,,,,
  thebalance ,thebalance.com, mediabiasfactcheck.com the-balance ,HIGH,center,,,,
  christianpost  ,christianpost.com, mediabiasfactcheck.com christian-post ,MIXED,right,,,,
 pogo  ,pogo.org, mediabiasfactcheck.com project-on-government-oversight ,HIGH,center,,,,
  newswithviews  ,newswithviews.com, mediabiasfactcheck.com news-with-views ,LOW,extreme-right,,,,
 metro  ,metro.co.uk, mediabiasfactcheck.com metro-uk ,HIGH,left-center,,,,
  thepublicdiscourse  ,thepublicdiscourse.com, mediabiasfactcheck.com witherspoon-institute ,LOW,extreme-right,,,,
  ocregister  ,ocregister.com, mediabiasfactcheck.com orange-county-register ,HIGH,right-center,,,,
  taxjustice  ,taxjustice.net, mediabiasfactcheck.com tax-justice-network ,HIGH,left-center,,,,
  theguardian  observer,theguardian.com-observer, mediabiasfactcheck.com the-observer ,HIGH,left-center,,,,
  dailyprogress ,dailyprogress.com, mediabiasfactcheck.com the-daily-progress ,HIGH,center,,,,
 libcom ,libcom.org, mediabiasfactcheck.com libcom-org ,HIGH,left,,,,
  zeit.de english index,zeit.de, mediabiasfactcheck.com die-zeit ,HIGH,left-center,,,,
  statesmanjournal  ,statesmanjournal.com, mediabiasfactcheck.com statesman-journal ,HIGH,right-center,,,,
  renewamerica ,renewamerica.com, mediabiasfactcheck.com renew-america ,LOW,extreme-right,,,,
  eurasiagroup  ,eurasiagroup.net, mediabiasfactcheck.com eurasia-group ,HIGH,center,,,,
  shtfplan  ,shtfplan.com, mediabiasfactcheck.com shtfplan-com ,LOW,extreme-right,,,,
  weeklystandard  ,weeklystandard.com, mediabiasfactcheck.com weekly-standard ,HIGH,right,,,,
 joeforamerica ,joeforamerica.com, mediabiasfactcheck.com joe-for-america ,LOW,extreme-right,,,,
  greentechmedia  ,greentechmedia.com, mediabiasfactcheck.com greentech-media ,HIGH,left-center,,,,
 news.cgtn ,news.cgtn.com, mediabiasfactcheck.com china-global-television-network-cgtn ,HIGH,center,,,,
  opendemocracy  ,opendemocracy.net, mediabiasfactcheck.com opendemocracy ,HIGH,left-center,,,,
 breakingdefense  ,breakingdefense.com, mediabiasfactcheck.com breaking-defense ,HIGH,right-center,,,,
 newsbreakshere  ,newsbreakshere.com, mediabiasfactcheck.com newsbreakshere ,LOW,extreme-right,,,,
 egyptianstreets  ,egyptianstreets.com, mediabiasfactcheck.com egyptian-streets ,MIXED,left-center,,,,
 70news   ,70news.wordpress.com, mediabiasfactcheck.com 70-news ,LOW,extreme-right,,,,
  poynter  ,poynter.org, mediabiasfactcheck.com poynter-institute ,HIGH,center,,,,
  addictinginfo  ,addictinginfo.org, mediabiasfactcheck.com addicting-info ,MIXED,left,,,,
  surenews  ,surenews.com, mediabiasfactcheck.com sure-news ,LOW,extreme-right,,,,
  janes  ,janes.com, mediabiasfactcheck.com ihs-janes-360 ,HIGH,center,,,,
  nova-magazine ,nova-magazine.net, mediabiasfactcheck.com nova-magazine ,MIXED,left,,,,
 thewest   ,thewest.com.au, mediabiasfactcheck.com the-west-australian ,HIGH,right-center,,,,
 usaconservativereport ,usaconservativereport.com, mediabiasfactcheck.com usa-conservative-report ,LOW,extreme-right,,,,
  express  ,express.co.uk, mediabiasfactcheck.com daily-express ,HIGH,right,,,,
  postbulletin  ,postbulletin.com, mediabiasfactcheck.com post-bulletin ,HIGH,right-center,,,,
  oilandwaterdontmix  ,oilandwaterdontmix.org, mediabiasfactcheck.com oil-and-water-dont-mix ,HIGH,left-center,,,,
 iwf  ,iwf.org, mediabiasfactcheck.com independent-womens-forum-iwf ,HIGH,right,,,,
 newmoderate  ,newmoderate.com, mediabiasfactcheck.com new-moderate ,HIGH,left-center,,,,
  ips-dc ,ips-dc.org, mediabiasfactcheck.com institute-policy-studies ,HIGH,left,,,,
  heritage  ,heritage.org, mediabiasfactcheck.com heritage-foundation ,MIXED,right,,,,
  americanheritage ,americanheritage.com, mediabiasfactcheck.com american-heritage ,HIGH,center,,,,
  westmonster  ,westmonster.com, mediabiasfactcheck.com westmonster ,HIGH,right-center,,,,
  phnompenhpost  ,phnompenhpost.com, mediabiasfactcheck.com the-phnom-penh-post ,HIGH,center,,,,
 fair  ,fair.org, mediabiasfactcheck.com fairness-accuracy-in-reporting-fair ,HIGH,left-center,,,,
 redice  ,redice.tv, mediabiasfactcheck.com red-ice-tv ,LOW,extreme-right,,,,
  timesofisrael  ,timesofisrael.com, mediabiasfactcheck.com times-of-israel ,HIGH,left-center,,,,
  newsmax  ,newsmax.com, mediabiasfactcheck.com newsmax ,MIXED,right,,,,
  rstreet  ,rstreet.org, mediabiasfactcheck.com r-street-institute ,HIGH,right-center,,,,
  thepostemail  ,thepostemail.com, mediabiasfactcheck.com the-post-email ,MIXED,right,,,,
  swedishwire  ,swedishwire.com, mediabiasfactcheck.com the-swedish-wire ,HIGH,center,,,,
  diversityinc ,diversityinc.com, mediabiasfactcheck.com diversityinc ,HIGH,left-center,,,,
 pilotonline  ,pilotonline.com, mediabiasfactcheck.com the-virginian-pilot ,HIGH,left-center,,,,
  stopfake  ,stopfake.org, mediabiasfactcheck.com stopfake ,HIGH,left-center,,,,
  almasdarnews ,almasdarnews.com, mediabiasfactcheck.com al-masdar-news-amn ,MIXED,left-center,,,,
  pgpf  ,pgpf.org, mediabiasfactcheck.com peterson-foundation ,HIGH,center,,,,
 realnewsrightnow  ,realnewsrightnow.com, mediabiasfactcheck.com real-news-right-now ,LOW,center,,,,
 progresstribune  ,progresstribune.com, mediabiasfactcheck.com progress-tribune ,LOW,extreme-left,,,,
 rightweb.irc-online ,rightweb.irc-online.org, mediabiasfactcheck.com right-web ,HIGH,left-center,,,,
  mlive  grand-rapids  ,mlive.com-grand-rapids-#-0, mediabiasfactcheck.com grand-rapids-press ,HIGH,right-center,,,,
  providencejournal  ,providencejournal.com, mediabiasfactcheck.com the-providence-journal ,HIGH,left-center,,,,
 jewishbreakingnews ,jewishbreakingnews.com, mediabiasfactcheck.com jewish-breaking-news ,MIXED,right-center,,,,
  truth-out  ,truth-out.org, mediabiasfactcheck.com truth-out ,MIXED,left,,,,
 ffrf  ,ffrf.org, mediabiasfactcheck.com freedom-religion-foundation-ffrf ,HIGH,center,,,,
  vermontindependent  ,vermontindependent.org, mediabiasfactcheck.com vermont-independent ,MIXED,left,,,,
 rapidcityjournal ,rapidcityjournal.com, mediabiasfactcheck.com rapid-city-journal ,HIGH,center,,,,
  theonion  ,theonion.com, mediabiasfactcheck.com the-onion ,LOW,center,,,,
  demos ,demos.org, mediabiasfactcheck.com demos ,HIGH,left-center,,,,
  ledevoir  ,ledevoir.com, mediabiasfactcheck.com le-devoir ,HIGH,center,,,,
 auburnpub  ,auburnpub.com, mediabiasfactcheck.com the-auburn-citizen ,HIGH,center,,,,
 quadrant  ,quadrant.org.au, mediabiasfactcheck.com quadrant-magazine ,MIXED,right,,,,
 patribotics  ,patribotics.blog, mediabiasfactcheck.com patribotics-blog ,LOW,right,,,,
 mbganews  ,mbganews.com, mediabiasfactcheck.com mbga-make-britain-great ,LOW,extreme-right,,,,
 politifeed ,politifeed.net, mediabiasfactcheck.com politifeed ,MIXED,right,,,,
  bloomberg  ,bloomberg.com, mediabiasfactcheck.com bloomberg ,HIGH,left-center,,,,
 itsgoingdown  ,itsgoingdown.org, mediabiasfactcheck.com its-going-down ,MIXED,left,,,,
 republicanssucks ,republicanssucks.org, mediabiasfactcheck.com republicans-suck ,MIXED,left,,,,
 bipartisanpolicy ,bipartisanpolicy.org, mediabiasfactcheck.com bipartisan-policy-center ,HIGH,right-center,,,,
 antifascistnews  ,antifascistnews.net, mediabiasfactcheck.com anti-fascist-news ,HIGH,left,,,,
  kentucky  ,kentucky.com, mediabiasfactcheck.com lexington-herald-leader ,HIGH,left-center,,,,
 dailysignal  ,dailysignal.com, mediabiasfactcheck.com daily-signal ,MIXED,right,,,,
  courier-journal  ,courier-journal.com, mediabiasfactcheck.com the-courier-journal ,HIGH,left-center,,,,
 vancouversun  ,vancouversun.com, mediabiasfactcheck.com vancouver-sun ,HIGH,left-center,,,,
  timescolonist  ,timescolonist.com, mediabiasfactcheck.com times-colonist ,HIGH,left-center,,,,
 techxplore  ,techxplore.com, mediabiasfactcheck.com techxplore ,HIGH,center,,,,
  dailyrecord  ,dailyrecord.com, mediabiasfactcheck.com daily-record ,HIGH,center,,,,
  vivaliberty  ,vivaliberty.com, mediabiasfactcheck.com vivaliberty ,MIXED,right,,,,
 newsite.thehindu  ,newsite.thehindu.com, mediabiasfactcheck.com the-hindu ,HIGH,left-center,,,,
  scotusblog  ,scotusblog.com, mediabiasfactcheck.com scotusblog ,HIGH,center,,,,
  dailynews  ,dailynews.com, mediabiasfactcheck.com los-angeles-daily-news ,HIGH,right-center,,,,
  hcn ,hcn.org, mediabiasfactcheck.com high-country-news ,HIGH,left-center,,,,
  680news  ,680news.com, mediabiasfactcheck.com 680-news ,HIGH,center,,,,
